Categorie 1,Categorie 2,Categorie 3,Name FR,Name EN,Pricing Base,Unit,Unit viewed,Hours base,Price,Cost
Moyens Humains Conventionels,Développement & préparation,Casting,Chargé de la figuration ,Extras Casting Director,PUB,Jour 8h,Jour,8,"321,12",
Moyens Humains Conventionels,Interprétation,Coaching & dresseurs,Répétiteur ,Tutor / Coach,PUB,Jour 8h,Jour,8,"321,12",
Moyens Humains Conventionels,Interprétation,Coaching & dresseurs,Responsable des enfants ,Child Guardian / Chaperone,PUB,Jour 8h,Jour,8,"321,12",
Moyens Humains Conventionels,Interprétation,Comédiens,Comédien ,Actor,Cinema Annexe 1,Cachet,Jour,12,"418,25",
Moyens Humains Conventionels,Interprétation,Comédiens,Comédien ,Actor,Cinema Annexe 2,Cachet,Jour,12,"418,25",
Moyens Humains Conventionels,Interprétation,Comédiens,Comédien ,Actor,Cinema Annexe 3,Cachet,Jour,12,"418,25",
Moyens Humains Conventionels,Interprétation,Comédiens,Comédien ,Actor,Cinema Annexe 3bis,Cachet,Jour,12,"418,25",
Moyens Humains Conventionels,Interprétation,Comédiens,Silhouette muette ,Walk-on (non-speaking),Cinema Annexe 1,Cachet,Jour,12,"150,00",
Moyens Humains Conventionels,Interprétation,Comédiens,Silhouette muette ,Walk-on (non-speaking),Cinema Annexe 2,Cachet,Jour,12,"150,00",
Moyens Humains Conventionels,Interprétation,Comédiens,Silhouette muette ,Walk-on (non-speaking),Cinema Annexe 3,Cachet,Jour,12,"150,00",
Moyens Humains Conventionels,Interprétation,Comédiens,Silhouette muette ,Walk-on (non-speaking),Cinema Annexe 3bis,Cachet,Jour,12,"150,00",
Moyens Humains Conventionels,Interprétation,Comédiens,Silhouette Parlante ,Featured Extra (speaking),Cinema Annexe 1,Cachet,Jour,12,"150,00",
Moyens Humains Conventionels,Interprétation,Comédiens,Silhouette Parlante ,Featured Extra (speaking),Cinema Annexe 2,Cachet,Jour,12,"150,00",
Moyens Humains Conventionels,Interprétation,Comédiens,Silhouette Parlante ,Featured Extra (speaking),Cinema Annexe 3,Cachet,Jour,12,"150,00",
Moyens Humains Conventionels,Interprétation,Comédiens,Silhouette Parlante ,Featured Extra (speaking),Cinema Annexe 3bis,Cachet,Jour,12,"150,00",
Moyens Humains Conventionels,Tournage,Décoration,1er assistant décorateur ,1st Assistant Set Decorator,PUB,Jour 8h,Jour,8,"430,56",
Moyens Humains Conventionels,Tournage,Décoration,2ème assistant décorateur ,2nd Assistant Set Decorator,PUB,Jour 8h,Jour,8,"393,24",
Moyens Humains Conventionels,Tournage,Décoration,3ème assistant décorateur ,3rd Assistant Set Decorator,PUB,Jour 8h,Jour,8,"160,44",
Moyens Humains Conventionels,Tournage,Décoration,Accessoiriste de décor ,Set Dresser / Props,PUB,Jour 8h,Jour,8,"381,84",
Moyens Humains Conventionels,Tournage,Décoration,Accessoiriste de plateau ,On-set Dresser / On-set Props,PUB,Jour 8h,Jour,8,"381,84",
Moyens Humains Conventionels,Tournage,Décoration,Animatronicien ,Animatronics Technician,PUB,Jour 8h,Jour,8,"381,84",
Moyens Humains Conventionels,Tournage,Décoration,Assistant effets physiques ,Special Effects Assistant,PUB,Jour 8h,Jour,8,"383,52",
Moyens Humains Conventionels,Tournage,Décoration,Chef constructeur ,Head Carpenter / Construction Foreman,PUB,Jour 8h,Jour,8,"450,72",
Moyens Humains Conventionels,Tournage,Décoration,Chef décorateur ,Production Designer / Art Director,PUB,Jour 8h,Jour,8,"816,48",
Moyens Humains Conventionels,Tournage,Décoration,Chef électricien de construction ,Head Construction Electrician,PUB,Jour 8h,Jour,8,"379,68",
Moyens Humains Conventionels,Tournage,Décoration,Chef machiniste de construction ,Key Construction Grip,PUB,Jour 8h,Jour,8,"379,68",
Moyens Humains Conventionels,Tournage,Décoration,Chef menuisier de décor ,Head Carpenter,PUB,Jour 8h,Jour,8,"396,60",
Moyens Humains Conventionels,Tournage,Décoration,Chef peintre de décor ,Head Painter,PUB,Jour 8h,Jour,8,"382,80",
Moyens Humains Conventionels,Tournage,Décoration,Chef sculpteur de décor ,Head Sculptor,PUB,Jour 8h,Jour,8,"396,72",
Moyens Humains Conventionels,Tournage,Décoration,Chef serrurier de décor ,Head Locksmith,PUB,Jour 8h,Jour,8,"396,60",
Moyens Humains Conventionels,Tournage,Décoration,Chef staffeur de décor ,Head Plasterer,PUB,Jour 8h,Jour,8,"396,60",
Moyens Humains Conventionels,Tournage,Décoration,Chef tapissier ,Head Upholsterer,PUB,Jour 8h,Jour,8,"393,24",
Moyens Humains Conventionels,Tournage,Décoration,Electricien de construction ,Construction Electrician,PUB,Jour 8h,Jour,8,"313,32",
Moyens Humains Conventionels,Tournage,Décoration,Ensemblier ,Set Dresser,PUB,Jour 8h,Jour,8,"430,56",
Moyens Humains Conventionels,Tournage,Décoration,Ensemblier décorateur ,Set Decorator,PUB,Jour 8h,Jour,8,"579,00",
Moyens Humains Conventionels,Tournage,Décoration,Illustrateur de décors ,Set Illustrator,PUB,Jour 8h,Jour,8,"393,24",
Moyens Humains Conventionels,Tournage,Décoration,Infographiste de décors ,Set Graphic Designer,PUB,Jour 8h,Jour,8,"393,24",
Moyens Humains Conventionels,Tournage,Décoration,Machiniste de construction ,Construction Grip,PUB,Jour 8h,Jour,8,"313,32",
Moyens Humains Conventionels,Tournage,Décoration,Maçon de décor ,Set Mason,PUB,Jour 8h,Jour,8,"312,36",
Moyens Humains Conventionels,Tournage,Décoration,Maquettiste de décor ,Model Maker,PUB,Jour 8h,Jour,8,"366,36",
Moyens Humains Conventionels,Tournage,Décoration,Menuisier de décor ,Carpenter,PUB,Jour 8h,Jour,8,"327,00",
Moyens Humains Conventionels,Tournage,Décoration,Menuisier toupilleur de décor ,Spindle Moulder Carpenter,PUB,Jour 8h,Jour,8,"366,36",
Moyens Humains Conventionels,Tournage,Décoration,Menuisier-traceur de décor ,Layout Carpenter,PUB,Jour 8h,Jour,8,"343,68",
Moyens Humains Conventionels,Tournage,Décoration,Peintre d'art de décor ,Scenic Artist,PUB,Jour 8h,Jour,8,"393,24",
Moyens Humains Conventionels,Tournage,Décoration,Peintre de décor ,Set Painter,PUB,Jour 8h,Jour,8,"327,24",
Moyens Humains Conventionels,Tournage,Décoration,Peintre en lettres de décor ,Sign Painter,PUB,Jour 8h,Jour,8,"343,68",
Moyens Humains Conventionels,Tournage,Décoration,Peintre faux bois et patine décor ,Faux Finish and Aging Painter,PUB,Jour 8h,Jour,8,"343,68",
Moyens Humains Conventionels,Tournage,Décoration,Régisseur d'extérieurs ,Location Manager,PUB,Jour 8h,Jour,8,"393,24",
Moyens Humains Conventionels,Tournage,Décoration,Sculpteur de décor ,Set Sculptor,PUB,Jour 8h,Jour,8,"375,24",
Moyens Humains Conventionels,Tournage,Décoration,Serrurier de décor ,Set Locksmith,PUB,Jour 8h,Jour,8,"343,68",
Moyens Humains Conventionels,Tournage,Décoration,Sous chef menuisier de décor ,Assistant Head Carpenter,PUB,Jour 8h,Jour,8,"365,04",
Moyens Humains Conventionels,Tournage,Décoration,Sous chef peintre de décor ,Assistant Head Painter,PUB,Jour 8h,Jour,8,"339,36",
Moyens Humains Conventionels,Tournage,Décoration,Sous chef staffeur de décor ,Assistant Head Plasterer,PUB,Jour 8h,Jour,8,"365,04",
Moyens Humains Conventionels,Tournage,Décoration,Sous-chef électricien de décor ,Assistant Head Construction Electrician,PUB,Jour 8h,Jour,8,"336,24",
Moyens Humains Conventionels,Tournage,Décoration,Sous-chef machiniste de décor ,Assistant Head Construction Grip,PUB,Jour 8h,Jour,8,"336,24",
Moyens Humains Conventionels,Tournage,Décoration,Staffeur de décor ,Plasterer,PUB,Jour 8h,Jour,8,"343,68",
Moyens Humains Conventionels,Tournage,Décoration,Superviseur d'effets physiques ,Special Effects Supervisor,PUB,Jour 8h,Jour,8,"579,00",
Moyens Humains Conventionels,Tournage,Décoration,Tapissier de décor ,Upholsterer,PUB,Jour 8h,Jour,8,"273,84",
Moyens Humains Conventionels,Tournage,Décoration,Teinturier patineur costumes ,Costume Dyer / Ager,PUB,Jour 8h,Jour,8,"319,08",
Moyens Humains Conventionels,Tournage,HMC,1er assistant costume ,1st Assistant Costume Designer,PUB,Jour 8h,Jour,8,"419,28",
Moyens Humains Conventionels,Tournage,HMC,Assistant maquilleur ,Makeup Assistant,PUB,Jour 8h,Jour,8,"319,08",
Moyens Humains Conventionels,Tournage,HMC,Chef coiffeur ,Key Hairstylist,PUB,Jour 8h,Jour,8,"393,24",
Moyens Humains Conventionels,Tournage,HMC,Chef costumier ,Head Costume Designer / Costume Supervisor,PUB,Jour 8h,Jour,8,"579,00",
Moyens Humains Conventionels,Tournage,HMC,Chef d'atelier costumes ,Wardrobe Supervisor,PUB,Jour 8h,Jour,8,"393,24",
Moyens Humains Conventionels,Tournage,HMC,Chef maquilleur ,Key Makeup Artist,PUB,Jour 8h,Jour,8,"396,36",
Moyens Humains Conventionels,Tournage,HMC,Coiffeur ,Hairstylist,PUB,Jour 8h,Jour,8,"319,08",
